"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"China","CN","CHN",2001,89013000,2405.99411858042,8.32404695347056,96.0971795361352,1271850000
"China","CN","CHN",2002,97908000,2610.66275070444,9.23604870383861,93.9941539602139,1280400000
"China","CN","CHN",2003,91662000,2856.85053293219,10.1138119025242,88.0205028997858,1288400000
"China","CN","CHN",2004,109038000,3127.91444892337,10.1404291872206,85.6048425446005,1296075000
"China","CN","CHN",2005,120292000,3465.72767067642,11.4535130030645,84.7065714848337,1303720000
"China","CN","CHN",2006,124942000,3883.27464370816,12.6752842281595,86.0337830716584,1311020000
"China","CN","CHN",2007,131873000,4409.69709445986,14.1507710506103,89.1885550423734,1317885000
"China","CN","CHN",2008,130027000,4811.34486346262,9.66877608164454,96.8298184002403,1324655000
"China","CN","CHN",2009,126476000,5237.78809982377,9.40610014336416,100.883213666495,1331260000
"China","CN","CHN",2010,133762000,5764.65012366375,10.5916903885704,100,1337705000
"China","CN","CHN",2011,135423000,6275.71634288814,9.46205248298186,102.840824169933,1345035000
"China","CN","CHN",2012,132405000,6723.09003744607,7.8578201481217,108.887002336216,1354190000
"China","CN","CHN",2013,129078000,7197.937319496,7.77842954757257,114.810440938741,1363240000
"China","CN","CHN",2014,128499000,7686.37369520403,7.46100735778161,118.434932696757,1371860000
"China","CN","CHN",2015,133820000,8175.33285077393,6.98162255562367,129.95720059254,1379860000
"China","CN","CHN",2016,141774000,8679.22528805041,6.7736886867727,123.799021613572,1387790000
"China","CN","CHN",2017,153260000,9221.35045639842,6.89123916636191,120.208002000555,1396215000
"China","CN","CHN",2018,158606000,9798.57890566402,6.757806142324,121.679585572893,1402760000
"China","CN","CHN",2019,162538000,10356.2924890582,6.06737806333672,120.957398898817,1407745000
"China","CN","CHN",2020,30402000,10573.3794064211,2.33950385203023,123.407684762158,1411100000
"Colombia","CO","COL",1995,1433000,4189.72770913999,5.20243759278655,93.7038546515193,35804662
"Colombia","CO","COL",1996,751000,4198.69126252708,2.05585471287195,99.2930721740912,36462745
"Colombia","CO","COL",1997,758000,4265.6935185646,3.43029367788374,105.553551014914,37121149
"Colombia","CO","COL",1998,823000,4213.82800470051,0.569784088434517,99.0791916584765,37792165
"Colombia","CO","COL",1999,725000,3967.11339937681,-4.20401524244947,89.8980421160288,38454863
"Colombia","CO","COL",2000,707000,4016.80951748167,2.92486148176778,81.4364484355194,39089934
"Colombia","CO","COL",2001,788000,4020.50789754842,1.67789830787579,78.878695422822,39709262
"Colombia","CO","COL",2002,661000,4058.28493578738,2.50398046659659,78.6747877803794,40324680
"Colombia","CO","COL",2003,668000,4154.17528523618,3.91827190322513,68.9650406758706,40937429
"Colombia","CO","COL",2004,840000,4311.91591255233,5.33302206759905,75.2178301529319,41543171
"Colombia","CO","COL",2005,981000,4457.27537460443,4.82876110773741,84.7905451069684,42128977
"Colombia","CO","COL",2006,2096000,4694.03442939175,6.71686869844402,83.0919639077675,42691084
"Colombia","CO","COL",2007,2381000,4947.25260813108,6.73819469090975,92.3298902218371,43235374
"Colombia","CO","COL",2008,2545000,5048.57187245249,3.28344618616541,95.4401848507895,43758808
"Colombia","CO","COL",2009,2649000,5046.97121757727,1.13964864548062,90.4451219514915,44271541
"Colombia","CO","COL",2010,1701000,5214.24547620131,4.49465897070922,100,44777319
"Colombia","CO","COL",2011,2356000,5517.1011086899,6.94789198173555,100.15442202318,45259614
"Colombia","CO","COL",2012,2434000,5675.75617978305,3.91263576716115,105.294488486749,45715810
"Colombia","CO","COL",2013,2595000,5910.80592301166,5.13399351995672,101.336848071647,46151584
"Colombia","CO","COL",2014,2866000,6121.83982019825,4.49903000110972,95.8824916988478,46565429
"Colombia","CO","COL",2015,3371000,6248.51490534512,2.95590137527523,77.5816625839066,46969940
"Colombia","CO","COL",2016,3675000,6316.07067782542,2.08738250162794,74.1852176214273,47437512
"Colombia","CO","COL",2017,4056000,6309.67745292518,1.35936086788746,77.4219364069865,48131078
"Colombia","CO","COL",2018,4397000,6353.5464285392,2.56432428277704,78.2751092135168,49024465
"Colombia","CO","COL",2019,4531000,6439.96359812647,3.18685539245533,75.7484181313814,49907985
"Colombia","CO","COL",2020,1396000,5891.95523215403,-7.18591413760859,72.5549501557842,50629997
"Egypt, Arab Rep.","EG","EGY",1995,3133000,2074.83991140246,4.64245877240639,NA,65652622
"Egypt, Arab Rep.","EG","EGY",1996,3896000,2133.64804177244,4.98873056512208,NA,67028048
"Egypt, Arab Rep.","EG","EGY",1997,3961000,2204.66575942446,5.49235474302942,NA,68431740
"Egypt, Arab Rep.","EG","EGY",1998,3454000,2277.2850483467,5.575497460986,NA,69943294
"Egypt, Arab Rep.","EG","EGY",1999,4797000,2361.86425101369,6.05343878467555,NA,71520954
"Egypt, Arab Rep.","EG","EGY",2000,5506000,2458.60835003154,6.37000382991766,NA,73083284
"Egypt, Arab Rep.","EG","EGY",2001,4648000,2492.03441188861,3.53525197391507,NA,74652029
"Egypt, Arab Rep.","EG","EGY",2002,5192000,2498.4812119434,2.39020402675627,NA,76239137
"Egypt, Arab Rep.","EG","EGY",2003,6044000,2524.80477195753,3.19345473756772,NA,77853548
"Egypt, Arab Rep.","EG","EGY",2004,8104000,2574.42341789647,4.09207161019908,NA,79477443
"Egypt, Arab Rep.","EG","EGY",2005,8608000,2635.70305226634,4.4717444710621,NA,81101004
"Egypt, Arab Rep.","EG","EGY",2006,9083000,2761.62410768311,6.84383819369884,NA,82700403
"Egypt, Arab Rep.","EG","EGY",2007,11091000,2902.06559803259,7.08782742675582,NA,84276225
"Egypt, Arab Rep.","EG","EGY",2008,12835000,3052.2129784594,7.15628356711522,NA,85864789
"Egypt, Arab Rep.","EG","EGY",2009,12536000,3135.09661305712,4.67359980000663,NA,87501636
"Egypt, Arab Rep.","EG","EGY",2010,14731000,3233.84521249306,5.14723485746742,NA,89196072
"Egypt, Arab Rep.","EG","EGY",2011,9845000,3222.37650111397,1.76457194806041,NA,91093059
"Egypt, Arab Rep.","EG","EGY",2012,11532000,3220.99194201188,2.22619979818487,NA,93161001
"Egypt, Arab Rep.","EG","EGY",2013,9464000,3216.37839024454,2.18546605363386,NA,95333553
"Egypt, Arab Rep.","EG","EGY",2014,9878000,3235.66246235519,2.91591188052836,NA,97528654
"Egypt, Arab Rep.","EG","EGY",2015,9328000,3306.98159414141,4.37201907781687,NA,99597342
"Egypt, Arab Rep.","EG","EGY",2016,5399000,3381.22246307712,4.34664345601914,NA,101644589
"Egypt, Arab Rep.","EG","EGY",2017,8292000,3452.90961245976,4.18122099961562,NA,103696057
"Egypt, Arab Rep.","EG","EGY",2018,11346000,3568.63966286365,5.33110861887155,NA,105682094
"Egypt, Arab Rep.","EG","EGY",2019,13026000,3701.2446344954,5.55209307084222,NA,107553158
"Egypt, Arab Rep.","EG","EGY",2020,NA,3770.86947868544,3.55016483883115,NA,109315124
"France","FR","FRA",1995,NA,29379.6158424052,2.30479278392259,111.040205834177,59541294
"France","FR","FRA",1996,148263000,29683.7786067651,1.39707987198881,110.512092498015,59754504
"France","FR","FRA",1997,157551000,30325.522871824,2.5270616339357,105.138127148302,59968066
"France","FR","FRA",1998,NA,31256.5073830655,3.45259434279616,105.510263957946,60190684
"France","FR","FRA",1999,NA,32152.7207478734,3.39930808809441,102.428888847299,60501986
"France","FR","FRA",2000,NA,33255.1379642335,4.14099996402915,96.9961651430906,60918661
"France","FR","FRA",2001,NA,33640.6738002565,1.89946701186636,96.6858746894062,61364377
"France","FR","FRA",2002,NA,33753.5782979758,1.06775027069419,98.2893360785615,61812142
"France","FR","FRA",2003,NA,33840.6175720101,0.967827182558352,103.66787166818,62249855
"France","FR","FRA",2004,190282000,34557.1471111581,2.86825052501032,105.413755773844,62707588
"France","FR","FRA",2005,185829000,34946.0372494703,1.88856584109286,103.924265562568,63180854
"France","FR","FRA",2006,193882000,35645.4162427116,2.71406448755236,103.244750099666,63622342
"France","FR","FRA",2007,193319000,36322.1685141004,2.53048188351066,103.784420394046,64016890
"France","FR","FRA",2008,193571000,36257.3658930938,0.380171435849121,104.373799891058,64375116
"France","FR","FRA",2009,192369000,35052.8510772683,-2.82455153714783,104.416829262384,64706436
"France","FR","FRA",2010,189826000,35578.1968010183,2.00032476039051,100,65026211
"France","FR","FRA",2011,196595000,36269.9561530888,2.43757653729007,99.263168349455,65340830
"France","FR","FRA",2012,197522000,36161.2918253465,0.183835264973013,96.0952165762919,65657659
